Parent Grapheme,Parent Script,Parent character type,Child Grapheme,Child Script,Child character type,Confidence
aleph,Nabataean,Normal,alif,Arabic,Normal,1
aleph,Nabataean,Normal,hamza,Arabic,Normal,1
bet,Nabataean,Normal,ba,Arabic,Normal,1
taw,Nabataean,Normal,ta,Arabic,Normal,1
ta,Arabic,Normal,tha,Arabic,Normal,1
gimel,Nabataean,Normal,gim,Arabic,Normal,1
heth,Nabataean,Normal,ḥa,Arabic,Normal,1
ḥa,Arabic,Normal,kha,Arabic,Normal,1
dalet,Nabataean,Normal,dal,Arabic,Normal,1
dal,Arabic,Normal,dhal,Arabic,Normal,1
resh,Nabataean,Normal,ra,Arabic,Normal,1
zayin,Nabataean,Normal,zay,Arabic,Normal,1
samekh,Nabataean,Normal,sin,Arabic,Normal,1
shin,Nabataean,Normal,sin,Arabic,Normal,1
shin,Nabataean,Normal,shin,Arabic,Normal,1
sin,Arabic,Normal,shin,Arabic,Normal,1
tsade,Nabataean,Normal,ṣad,Arabic,Normal,1
teth,Nabataean,Normal,ṭa,Arabic,Normal,1
ṭa,Arabic,Normal,ẓa,Arabic,Normal,1
ayin,Nabataean,Normal,ayn,Arabic,Normal,1
ayn,Arabic,Normal,ghayn,Arabic,Normal,1
pe,Nabataean,Normal,fa,Arabic,Normal,1
qoph,Nabataean,Normal,qaf,Arabic,Normal,1
kaph,Nabataean,Normal,kaf,Arabic,Normal,1
lamedh,Nabataean,Normal,lam,Arabic,Normal,1
mem,Nabataean,Normal,mim,Arabic,Normal,1
nun,Nabataean,Normal,nun,Arabic,Normal,1
he,Nabataean,Normal,ha,Arabic,Normal,1
waw,Nabataean,Normal,waw,Arabic,Normal,1
yodh,Nabataean,Normal,ya,Arabic,Normal,1
aleph,Psalter Pahlavi,Normal,a,Avestan,Normal,1
a,Avestan,Normal,ā,Avestan,Normal,1
a,Avestan,Normal,å,Avestan,Normal,1
ā,Avestan,Normal,å̄,Avestan,Normal,1
å,Avestan,Normal,å̄,Avestan,Normal,1
a,Avestan,Normal,ą,Avestan,Normal,1
a,Avestan,Normal,ą̇,Avestan,Normal,1
epsilon,Greek,Minuscule,ə,Avestan,Normal,1
bet,Psalter Pahlavi,Normal,be,Avestan,Normal,1
aleph,Imperial Aramaic,Normal,a,Brahmi,Normal,0
a,Brahmi,Normal,a,Gupta,Normal,1
a,Gupta,Normal,a,Sharada,Normal,1
a,Sharada,Normal,a,Landa,Normal,1
a,Landa,Normal,a,Gurmukhi,Normal,1
a,Landa,Normal,a,Khojki,Normal,1
a,Brahmi,Normal,ā,Brahmi,Normal,1
ā,Brahmi,Normal,ā,Gupta,Normal,1
ā,Gupta,Normal,ā,Sharada,Normal,1
ā,Sharada,Normal,ā,Landa,Normal,1
ā,Landa,Normal,ā,Gurmukhi,Normal,1
ā,Landa,Normal,ā,Khojki,Normal,1
e,Brahmi,Normal,i,Brahmi,Normal,0
i,Brahmi,Normal,ī,Brahmi,Normal,1
u,Brahmi,Normal,ū,Brahmi,Normal,1
ayin,Imperial Aramaic,Normal,e,Brahmi,Normal,0
u,Brahmi,Normal,o,Brahmi,Normal,1
e,Brahmi,Normal,ai,Brahmi,Normal,1
ū,Brahmi,Normal,au,Brahmi,Normal,1
o,Brahmi,Normal,au,Brahmi,Normal,1
a,Brahmi,Normal,r̥,Brahmi,Normal,0
r̥,Brahmi,Normal,r̥̄,Brahmi,Normal,1
la,Brahmi,Normal,l̥,Brahmi,Normal,1
l̥,Brahmi,Normal,l̥̄,Brahmi,Normal,1
kaph,Imperial Aramaic,Normal,ka,Brahmi,Normal,0
qoph,Imperial Aramaic,Normal,kha,Brahmi,Normal,0
gimel,Imperial Aramaic,Normal,ga,Brahmi,Normal,0
heth,Imperial Aramaic,Normal,gha,Brahmi,Normal,0
na,Brahmi,Normal,ṅa,Brahmi,Normal,1
tsade,Imperial Aramaic,Normal,ca,Brahmi,Normal,0
ca,Brahmi,Normal,cha,Brahmi,Normal,1
zayin,Imperial Aramaic,Normal,ja,Brahmi,Normal,0
ja,Brahmi,Normal,jha,Brahmi,Normal,0
na,Brahmi,Normal,ña,Brahmi,Normal,0
ṭha,Brahmi,Normal,ṭa,Brahmi,Normal,0
tha,Brahmi,Normal,ṭha,Brahmi,Normal,0
ḍa,Brahmi,Normal,ḍha,Brahmi,Normal,0
na,Brahmi,Normal,ṇa,Brahmi,Normal,1
taw,Imperial Aramaic,Normal,ta,Brahmi,Normal,0
teth,Imperial Aramaic,Normal,tha,Brahmi,Normal,0
dha,Brahmi,Normal,da,Brahmi,Normal,0
dalet,Imperial Aramaic,Normal,dha,Brahmi,Normal,0
nun,Imperial Aramaic,Normal,na,Brahmi,Normal,0
pe,Imperial Aramaic,Normal,pa,Brahmi,Normal,0
pa,Brahmi,Normal,pha,Brahmi,Normal,1
bet,Imperial Aramaic,Normal,ba,Brahmi,Normal,0
ba,Brahmi,Normal,bha,Brahmi,Normal,1
mem,Imperial Aramaic,Normal,ma,Brahmi,Normal,0
yodh,Imperial Aramaic,Normal,ya,Brahmi,Normal,0
resh,Imperial Aramaic,Normal,ra,Brahmi,Normal,0
lamedh,Imperial Aramaic,Normal,la,Brahmi,Normal,0
waw,Imperial Aramaic,Normal,va,Brahmi,Normal,0
va,Brahmi,Normal,va,Gupta,Normal,1
va,Gupta,Normal,va,Sharada,Normal,1
va,Sharada,Normal,va,Landa,Normal,1
va,Landa,Normal,va,Gurmukhi,Normal,1
va,Landa,Normal,va,Khojki,Normal,1
va,Gupta,Normal,va,Siddham,Normal,1
va,Siddham,Normal,va,Nagari,Normal,1
va,Nagari,Normal,va,Devanagari,Normal,1
va,Siddham,Normal,va,Gaudi,Normal,1
va,Gaudi,Normal,va,Eastern Nagari,Normal,1
va,Siddham,Normal,va,Bhaiksuki,Normal,1
va,Siddham,Normal,va,Tibetan,Normal,1
va,Tibetan,Normal,va,Phagspa,Normal,1
va,Phagspa,Normal,va,Zanabazar,Normal,1
va,Brahmi,Normal,va,Damili,Normal,1
va,Damili,Normal,va,Tamil,Normal,1
va,Damili,Normal,va,Khmer,Normal,1
va,Khmer,Normal,va,Thai,Normal,1
va,Brahmi,Normal,va,Sinhala,Normal,1
shin,Imperial Aramaic,Normal,śa,Brahmi,Normal,0
samekh,Imperial Aramaic,Normal,ṣa,Brahmi,Normal,0
tsade,Imperial Aramaic,Normal,sa,Brahmi,Normal,0
he,Imperial Aramaic,Normal,ha,Brahmi,Normal,0
la,Brahmi,Normal,ḷa,Brahmi,Normal,0
N6,Egyptian hieroglyphs,Normal,C1,Egyptian hieroglyphs,Normal,1
N6,Egyptian hieroglyphs,Normal,C23,Egyptian hieroglyphs,Normal,1
D4,Egyptian hieroglyphs,Normal,D5,Egyptian hieroglyphs,Normal,1
D4,Egyptian hieroglyphs,Normal,D6,Egyptian hieroglyphs,Normal,1
D4,Egyptian hieroglyphs,Normal,D7,Egyptian hieroglyphs,Normal,1
D4,Egyptian hieroglyphs,Normal,D8,Egyptian hieroglyphs,Normal,1
D4,Egyptian hieroglyphs,Normal,D9,Egyptian hieroglyphs,Normal,1
D4,Egyptian hieroglyphs,Normal,D10,Egyptian hieroglyphs,Normal,1
D21,Egyptian hieroglyphs,Normal,D22,Egyptian hieroglyphs,Normal,1
D21,Egyptian hieroglyphs,Normal,D23,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,D37,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,D38,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,D39,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,D40,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,D59,Egyptian hieroglyphs,Normal,1
N5,Egyptian hieroglyphs,Normal,G9,Egyptian hieroglyphs,Normal,1
D37,Egyptian hieroglyphs,Normal,G19,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,G20,Egyptian hieroglyphs,Normal,1
D21,Egyptian hieroglyphs,Normal,G20,Egyptian hieroglyphs,Variant A,1
G43,Egyptian hieroglyphs,Normal,G44,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,G45,Egyptian hieroglyphs,Normal,1
G43,Egyptian hieroglyphs,Normal,G45,Egyptian hieroglyphs,Normal,1
D37,Egyptian hieroglyphs,Normal,G45,Egyptian hieroglyphs,Variant A,1
G43,Egyptian hieroglyphs,Normal,G46,Egyptian hieroglyphs,Normal,1
U1,Egyptian hieroglyphs,Normal,G46,Egyptian hieroglyphs,Normal,1
I10,Egyptian hieroglyphs,Normal,I10,Egyptian hieroglyphs,Variant A,1
I10,Egyptian hieroglyphs,Normal,I11,Egyptian hieroglyphs,Normal,1
I10,Egyptian hieroglyphs,Normal,I11,Egyptian hieroglyphs,Variant A,1
D21,Egyptian hieroglyphs,Normal,M6,Egyptian hieroglyphs,Normal,1
I10,Egyptian hieroglyphs,Normal,M14,Egyptian hieroglyphs,Normal,1
D21,Egyptian hieroglyphs,Normal,M24,Egyptian hieroglyphs,Normal,1
M23,Egyptian hieroglyphs,Normal,M24,Egyptian hieroglyphs,Normal,1
M24,Egyptian hieroglyphs,Normal,M25,Egyptian hieroglyphs,Normal,1
M26,Egyptian hieroglyphs,Normal,M25,Egyptian hieroglyphs,Normal,1
M23,Egyptian hieroglyphs,Normal,M26,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,M27,Egyptian hieroglyphs,Normal,1
M26,Egyptian hieroglyphs,Normal,M27,Egyptian hieroglyphs,Normal,1
I12,Egyptian hieroglyphs,Normal,N6,Egyptian hieroglyphs,Normal,1
N5,Egyptian hieroglyphs,Normal,N6,Egyptian hieroglyphs,Normal,1
N5,Egyptian hieroglyphs,Normal,N7,Egyptian hieroglyphs,Normal,1
N5,Egyptian hieroglyphs,Normal,N8,Egyptian hieroglyphs,Normal,1
N35,Egyptian hieroglyphs,Normal,N18,Egyptian hieroglyphs,Variant A,1
N5,Egyptian hieroglyphs,Normal,N27,Egyptian hieroglyphs,Normal,1
N34,Egyptian hieroglyphs,Normal,N34,Egyptian hieroglyphs,Variant A,1
O6,Egyptian hieroglyphs,Normal,O7,Egyptian hieroglyphs,Normal,1
O7,Egyptian hieroglyphs,Normal,O8,Egyptian hieroglyphs,Normal,1
O7,Egyptian hieroglyphs,Normal,O9,Egyptian hieroglyphs,Normal,1
O6,Egyptian hieroglyphs,Normal,O10,Egyptian hieroglyphs,Normal,1
O6,Egyptian hieroglyphs,Normal,O10,Egyptian hieroglyphs,Variant A,1
O6,Egyptian hieroglyphs,Normal,O10,Egyptian hieroglyphs,Variant B,1
D36,Egyptian hieroglyphs,Normal,O12,Egyptian hieroglyphs,Normal,1
O34,Egyptian hieroglyphs,Normal,O35,Egyptian hieroglyphs,Normal,1
D36,Egyptian hieroglyphs,Normal,P7,Egyptian hieroglyphs,Normal,1
N24,Egyptian hieroglyphs,Normal,R18,Egyptian hieroglyphs,Normal,1
I10,Egyptian hieroglyphs,Normal,T5,Egyptian hieroglyphs,Normal,1
I11,Egyptian hieroglyphs,Normal,T6,Egyptian hieroglyphs,Normal,1
T14,Egyptian hieroglyphs,Normal,T14,Egyptian hieroglyphs,Variant A,1
I10,Egyptian hieroglyphs,Normal,V21,Egyptian hieroglyphs,Normal,1
V28,Egyptian hieroglyphs,Normal,V28,Egyptian hieroglyphs,Variant A,1
V28,Egyptian hieroglyphs,Normal,V29,Egyptian hieroglyphs,Normal,1
V29,Egyptian hieroglyphs,Normal,V29,Egyptian hieroglyphs,Variant A,1
G43,Egyptian hieroglyphs,Normal,Z7,Egyptian hieroglyphs,Normal,1
fe,Old Italic,Normal,fee,Elder futhark,Normal,1
fee,Elder futhark,Normal,fee,Younger futhark,Normal,1
fee,Elder futhark,Normal,fee,Futhorc,Normal,1
u,Old Italic,Normal,ur,Elder futhark,Normal,0
ur,Elder futhark,Normal,ur,Younger futhark,Normal,1
ur,Elder futhark,Normal,ur,Futhorc,Normal,1
de,Old Italic,Normal,thorn,Elder futhark,Normal,0
thorn,Elder futhark,Normal,thorn,Younger futhark,Normal,1
thorn,Elder futhark,Normal,thorn,Futhorc,Normal,1
a,Old Italic,Normal,os,Elder futhark,Normal,1
os,Elder futhark,Normal,os,Younger futhark,Normal,1
os,Younger futhark,Normal,os,Younger futhark,Alternate,1
os,Elder futhark,Normal,os,Futhorc,Normal,1
er,Old Italic,Normal,ride,Elder futhark,Normal,1
ride,Elder futhark,Normal,ride,Younger futhark,Normal,1
ride,Elder futhark,Normal,ride,Futhorc,Normal,1
ce,Old Italic,Normal,ken,Elder futhark,Normal,1
ka,Old Italic,Normal,ken,Elder futhark,Normal,0
ken,Elder futhark,Normal,ken,Younger futhark,Normal,1
ken,Elder futhark,Normal,ken,Futhorc,Normal,1
ex,Old Italic,Normal,gift,Elder futhark,Normal,0
ken,Elder futhark,Normal,gift,Elder futhark,Normal,0
gift,Elder futhark,Normal,gift,Futhorc,Normal,1
pe,Old Italic,Normal,win,Elder futhark,Normal,0
win,Elder futhark,Normal,win,Futhorc,Normal,1
he,Old Italic,Normal,hail,Elder futhark,Normal,1
hail,Elder futhark,Normal,hail,Younger futhark,Normal,1
hail,Younger futhark,Normal,hail,Younger futhark,Alternate,1
hail,Elder futhark,Normal,hail,Futhorc,Normal,1
en,Old Italic,Normal,need,Elder futhark,Normal,0
need,Elder futhark,Normal,need,Younger futhark,Normal,1
need,Younger futhark,Normal,need,Younger futhark,Alternate,1
need,Elder futhark,Normal,need,Futhorc,Normal,1
i,Old Italic,Normal,ice,Elder futhark,Normal,1
ice,Elder futhark,Normal,ice,Younger futhark,Normal,1
ice,Elder futhark,Normal,ice,Futhorc,Normal,1
ze,Old Italic,Normal,year,Elder futhark,Normal,0
ken,Elder futhark,Normal,year,Elder futhark,Normal,0
year,Elder futhark,Normal,year,Younger futhark,Normal,1
year,Younger futhark,Normal,year,Younger futhark,Alternate,1
year,Elder futhark,Normal,year,Futhorc,Normal,1
year,Elder futhark,Normal,year,Futhorc,Alternate,1
ice,Elder futhark,Normal,yew,Elder futhark,Normal,0
year,Elder futhark,Normal,yew,Elder futhark,Normal,0
yew,Elder futhark,Normal,yew,Futhorc,Normal,1
pe,Old Italic,Normal,perth,Elder futhark,Normal,0
perth,Elder futhark,Normal,perth,Futhorc,Normal,1
khe,Old Italic,Normal,elk,Elder futhark,Normal,0
elk,Elder futhark,Normal,elk,Younger futhark,Normal,1
elk,Elder futhark,Normal,elk,Futhorc,Normal,1
es,Old Italic,Normal,sun,Elder futhark,Normal,1
sun,Elder futhark,Alternate,sun,Younger futhark,Normal,1
sun,Younger futhark,Normal,sun,Younger futhark,Alternate,1
sun,Elder futhark,Alternate,sun,Futhorc,Normal,1
sun,Futhorc,Normal,sun,Futhorc,Alternate,1
te,Old Italic,Normal,tyr,Elder futhark,Normal,1
tyr,Elder futhark,Normal,tyr,Younger futhark,Normal,1
tyr,Younger futhark,Normal,tyr,Younger futhark,Alternate,1
tyr,Elder futhark,Normal,tyr,Futhorc,Normal,1
be,Old Italic,Normal,birch,Elder futhark,Normal,1
birch,Elder futhark,Normal,birch,Younger futhark,Normal,1
birch,Elder futhark,Normal,birch,Futhorc,Normal,1
e,Old Italic,Normal,eoh,Elder futhark,Normal,0
eoh,Elder futhark,Normal,eoh,Futhorc,Normal,1
em,Old Italic,Normal,man,Elder futhark,Normal,1
man,Elder futhark,Normal,man,Younger futhark,Normal,1
man,Younger futhark,Normal,man,Younger futhark,Alternate,1
man,Elder futhark,Normal,man,Futhorc,Normal,1
man,Futhorc,Normal,man,Futhorc,Alternate,1
el,Old Italic,Normal,lake,Elder futhark,Normal,1
lake,Elder futhark,Normal,lake,Younger futhark,Normal,1
lake,Elder futhark,Normal,lake,Futhorc,Normal,1
ken,Elder futhark,Normal,ing,Elder futhark,Normal,0
ing,Elder futhark,Normal,ing,Futhorc,Normal,1
de,Old Italic,Normal,day,Elder futhark,Normal,0
thorn,Elder futhark,Normal,day,Elder futhark,Normal,0
day,Elder futhark,Normal,day,Futhorc,Normal,1
omega,Greek,Majuscule,ethel,Elder futhark,Normal,0
ethel,Elder futhark,Normal,ethel,Futhorc,Normal,1
os,Elder futhark,Normal,oak,Futhorc,Normal,1
os,Elder futhark,Normal,ash,Futhorc,Normal,1
os,Elder futhark,Normal,earth,Futhorc,Normal,1
ur,Futhorc,Normal,yr,Futhorc,Normal,1
aleph,Phoenician,Normal,alpha,Greek,Majuscule,1
alpha,Greek,Majuscule,alpha,Greek,Minuscule,1
alpha,Greek,Majuscule,alpha,Coptic,Majuscule,1
alpha,Greek,Majuscule,alpha,Gothic,Normal,1
alpha,Greek,Majuscule,alpha,Lycian,Normal,1
alpha,Greek,Majuscule,alpha,Lydian,Normal,1
bet,Phoenician,Normal,beta,Greek,Majuscule,1
beta,Greek,Majuscule,beta,Greek,Minuscule,1
beta,Greek,Majuscule,beta,Coptic,Majuscule,1
beta,Greek,Majuscule,beta,Gothic,Normal,1
beta,Greek,Majuscule,beta,Lycian,Normal,1
beta,Greek,Majuscule,beta,Lydian,Normal,1
gimel,Phoenician,Normal,gamma,Greek,Majuscule,1
dalet,Phoenician,Normal,delta,Greek,Majuscule,1
he,Phoenician,Normal,epsilon,Greek,Majuscule,1
epsilon,Greek,Majuscule,epsilon,Greek,Minuscule,1
waw,Phoenician,Normal,digamma,Greek,Majuscule,1
zayin,Phoenician,Normal,zeta,Greek,Majuscule,1
heth,Phoenician,Normal,heta,Greek,Majuscule,1
teth,Phoenician,Normal,theta,Greek,Majuscule,1
yodh,Phoenician,Normal,iota,Greek,Majuscule,1
kaph,Phoenician,Normal,kappa,Greek,Majuscule,1
lamedh,Phoenician,Normal,lambda,Greek,Majuscule,1
lambda,Greek,Majuscule,lambda,Greek,Minuscule,1
lambda,Greek,Majuscule,lambda,Coptic,Majuscule,1
lambda,Greek,Majuscule,lambda,Gothic,Normal,1
lambda,Greek,Majuscule,lambda,Lycian,Normal,1
lambda,Greek,Majuscule,lambda,Lydian,Normal,1
mem,Phoenician,Normal,mu,Greek,Majuscule,1
nun,Phoenician,Normal,nu,Greek,Majuscule,1
samekh,Phoenician,Normal,xi,Greek,Majuscule,1
ayin,Phoenician,Normal,omicron,Greek,Majuscule,1
omicron,Greek,Majuscule,omicron,Gothic,Normal,0
ur,Elder futhark,Normal,omicron,Gothic,Normal,0
pe,Phoenician,Normal,pi,Greek,Majuscule,1
tsade,Phoenician,Normal,san,Greek,Majuscule,1
qoph,Phoenician,Normal,koppa,Greek,Majuscule,1
resh,Phoenician,Normal,rho,Greek,Majuscule,1
shin,Phoenician,Normal,sigma,Greek,Majuscule,1
taw,Phoenician,Normal,tau,Greek,Majuscule,1
waw,Phoenician,Normal,upsilon,Greek,Majuscule,1
upsilon,Greek,Majuscule,upsilon,Gothic,Normal,1
qoph,Phoenician,Normal,phi,Greek,Majuscule,0
qoph,Phoenician,Normal,ksi,Greek,Majuscule,0
omicron,Greek,Majuscule,omega,Greek,Majuscule,1
san,Greek,Majuscule,sampi,Greek,Majuscule,0
alpha,Greek,Majuscule,a,Old Italic,Normal,1
a,Old Italic,Normal,a,Latin,Majuscule,1
a,Latin,Majuscule,a,Latin,Minuscule,1
beta,Greek,Majuscule,be,Old Italic,Normal,1
be,Old Italic,Normal,be,Latin,Majuscule,1
be,Latin,Majuscule,be,Latin,Minuscule,1
gamma,Greek,Majuscule,ce,Old Italic,Normal,1
ce,Old Italic,Normal,ce,Latin,Majuscule,1
ce,Latin,Majuscule,ge,Latin,Majuscule,1
delta,Greek,Majuscule,de,Old Italic,Normal,1
de,Old Italic,Normal,de,Latin,Majuscule,1
epsilon,Greek,Majuscule,e,Old Italic,Normal,1
e,Old Italic,Normal,e,Latin,Majuscule,1
digamma,Greek,Majuscule,fe,Old Italic,Normal,1
fe,Old Italic,Normal,fe,Latin,Majuscule,1
zeta,Greek,Majuscule,ze,Old Italic,Normal,1
ze,Old Italic,Normal,ze,Latin,Majuscule,1
heta,Greek,Majuscule,he,Old Italic,Normal,1
he,Old Italic,Normal,he,Latin,Majuscule,1
theta,Greek,Majuscule,the,Old Italic,Normal,1
iota,Greek,Majuscule,i,Old Italic,Normal,1
i,Old Italic,Normal,i,Latin,Majuscule,1
i,Latin,Majuscule,je,Latin,Majuscule,1
heta,Greek,Majuscule,ii,Old Italic,Normal,1
kappa,Greek,Majuscule,ka,Old Italic,Normal,1
ka,Old Italic,Normal,ka,Latin,Majuscule,1
